"행정구역별",2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별",합계출산율 (가임여성 1명당 명),모의 연령별출산율:15~19세 (해당연령 여자인구 1천명당 명),20~24세 (해당연령 여자인구 1천명당 명),25~29세 (해당연령 여자인구 1천명당 명),30~34세 (해당연령 여자인구 1천명당 명),35~39세 (해당연령 여자인구 1천명당 명),40~44세 (해당연령 여자인구 1천명당 명),45~49세 (해당연령 여자인구 1천명당 명)
"진천군",0.911,1.6,13.4,41.7,79.6,37.9,7.5,0.0
"괴산군",0.689,2.3,4.2,31.8,52.6,34.8,10.0,0.0
"음성군",0.797,1.2,11.2,39.2,65.5,33.2,7.6,0.3
"단양군",0.751,0.0,5.0,19.1,61.1,48.4,15.5,0.0
"증평군",1.070,0.0,7.6,60.6,90.8,47.4,7.9,0.0
"충청남도",0.842,0.4,7.2,36.2,77.4,39.4,7.1,0.3
"천안시",0.767,0.4,6.0,29.1,72.5,38.8,6.6,0.3
"동남구",0.725,0.5,6.8,27.6,66.9,35.7,6.2,0.2
"서북구",0.787,0.4,5.5,29.9,75.0,40.2,6.8,0.3
"공주시",0.817,0.0,4.7,37.3,68.6,44.5,6.5,0.3
"보령시",0.803,0.5,6.8,29.6,71.6,42.8,7.0,0.3
"아산시",0.904,0.5,8.5,42.3,82.2,40.6,6.6,0.3
"서산시",1.017,0.8,10.5,52.5,94.4,38.2,6.3,0.3
"논산시",0.868,0.4,10.6,38.5,74.7,38.8,8.3,0.3
"계룡시",0.797,0.0,2.6,35.8,80.1,36.5,3.8,0.0
"당진시",1.025,0.6,9.2,52.5,93.8,40.3,8.5,0.2
"금산군",0.703,0.0,6.3,23.9,63.6,36.9,7.5,0.8
"부여군",0.540,0.0,11.6,17.3,44.0,26.5,6.2,0.0
"서천군",0.730,0.0,6.9,21.6,69.0,36.0,10.4,0.0
"청양군",0.759,0.0,7.0,34.0,56.4,44.7,7.6,0.0
"홍성군",0.899,0.0,8.6,47.4,71.8,39.8,9.7,0.6
"예산군",1.026,0.0,6.1,49.9,86.8,46.8,14.2,0.0
"태안군",0.737,0.0,4.4,26.2,75.9,31.2,7.4,0.6
"전라북도",0.780,0.6,5.2,29.0,72.6,39.6,7.2,0.2
"전주시",0.691,0.4,3.7,23.0,65.8,37.1,6.7,0.1
"완산구",0.613,0.7,4.0,18.7,56.9,34.3,6.5,0.1
"덕진구",0.769,0.0,3.4,27.8,74.7,39.7,6.9,0.2
"군산시",0.796,0.8,4.9,35.5,73.8,35.8,6.8,0.2
"익산시",0.704,1.2,5.4,25.7,65.9,34.8,6.4,0.1
"정읍시",0.875,0.5,7.0,33.1,84.8,39.7,7.5,0.3
"남원시",0.908,0.0,9.3,39.5,80.7,42.4,5.8,0.0
"김제시",1.367,0.7,12.0,50.0,123.8,72.5,11.9,0.9
"완주군",0.893,1.0,4.4,45.2,74.1,46.1,7.0,0.7
"진안군",1.315,0.0,8.4,41.7,134.9,60.4,14.1,1.8
"무주군",0.726,0.0,2.7,19.6,57.9,54.7,6.0,0.0
"장수군",1.125,0.0,20.0,49.9,99.4,45.4,6.8,1.9
"임실군",1.285,0.0,8.5,50.2,111.8,62.7,17.8,0.0
"순창군",1.008,1.8,2.2,44.7,94.0,48.9,7.8,0.0
"고창군",0.891,0.0,9.8,30.9,75.8,46.4,13.8,0.0
"부안군",0.845,1.2,9.3,30.4,76.0,38.6,10.7,0.0
"전라남도",0.972,0.7,8.4,37.6,91.0,46.5,8.3,0.2
"목포시",0.762,0.9,8.0,29.9,67.5,36.8,5.9,0.0
"여수시",0.853,0.3,6.7,33.6,80.5,39.4,7.8,0.2
"순천시",0.897,0.3,5.5,32.8,87.7,45.4,6.4,0.1
"나주시",1.086,1.4,9.3,39.6,103.6,53.6,9.8,0.3
"광양시",0.996,1.6,9.8,47.5,93.9,37.4,8.7,0.0
"담양군",1.132,1.3,9.9,47.7,86.7,68.2,9.9,0.9
"곡성군",0.846,0.0,4.4,19.2,94.1,42.7,7.8,0.0
"구례군",0.770,0.0,5.1,16.3,90.3,37.1,4.0,0.0
"고흥군",1.153,0.0,12.5,57.2,104.0,43.9,9.1,0.0
"보성군",1.092,0.0,10.8,39.2,99.3,57.4,8.3,1.2
"화순군",0.898,0.7,9.7,31.2,81.8,46.2,8.1,0.0
"장흥군",1.257,1.7,8.5,43.3,108.3,65.9,20.1,0.0
"강진군",1.468,0.0,10.9,44.8,123.6,82.6,31.0,0.0
"해남군",1.356,0.0,10.3,61.1,131.1,57.3,6.5,0.0
"영암군",1.009,1.0,10.9,41.7,95.9,41.1,9.5,0.7
"무안군",0.968,0.4,6.6,33.5,96.3,50.9,4.9,0.3
"함평군",1.217,2.1,12.6,21.9,124.7,64.6,14.5,0.0
"영광군",1.651,1.0,11.4,62.2,145.1,96.5,14.3,1.5
"장성군",1.152,0.0,13.6,60.1,102.9,37.5,16.5,0.0
"완도군",1.048,1.3,20.7,45.2,82.4,45.5,10.2,0.0
"진도군",0.908,2.0,16.0,38.8,74.1,39.9,8.2,0.0
"신안군",1.164,2.1,9.7,31.6,114.8,63.2,9.8,0.0
"경상북도",0.860,0.5,5.7,33.4,80.5,43.2,7.7,0.1
"포항시",0.848,0.7,5.7,33.7,82.1,39.3,6.7,0.1
"포항-남구",0.814,0.4,5.4,30.3,81.1,37.7,6.6,0.0
"포항-북구",0.875,0.9,6.0,36.4,82.9,40.6,6.7,0.1
"경주시",0.909,0.2,7.0,32.2,82.0,49.6,9.6,0.1
"김천시",1.062,0.0,7.9,39.7,98.5,55.0,10.2,0.2
"안동시",0.887,0.6,4.3,33.7,76.7,52.4,8.0,0.6
"구미시",0.710,0.5,4.8,32.3,68.1,31.8,5.3,0.0
"영주시",0.863,1.0,6.3,35.6,85.1,36.2,7.0,0.0
